Cas	He	Hs	Te	Ts	Diam_WR	WRyoung	offset	mu_ini	Force	G
1	11.7899	8.2014	13.13	16.089	796.36298	216000	0	0	1367.67	8.8
1	11.7972	8.2044	13.378	16.273	796.36298	216000	0	0	1374.53	8.8
1	11.7822	8.2075	13.501	16.484	796.36298	216000	0	0	1379.08	8.8
1	11.787	8.2143	13.643	16.667	796.36298	216000	0	0	1387.31	8.7
1	11.7949	8.2226	14.173	16.428	796.36298	216000	0	0	1399.25	8.6
1	11.8	8.2102	14.443	16.248	796.36298	216000	0	0	1391.33	8.7
1	11.7967	8.2012	14.739	16.523	796.36298	216000	0	0	1383.27	8.6
1	11.7978	8.1943	15.881	16.614	796.36298	216000	0	0	1383.18	8.5
1	11.795	8.1994	15.83	16.592	796.36298	216000	0	0	1387.82	8.5
1	11.7717	8.1994	15.073	16.781	796.36298	216000	0	0	1389.21	8.7
1	11.771	8.1961	13.531	16.654	796.36298	216000	0	0	1385.12	8.7
1	11.7746	8.194	12.856	16.515	796.36298	216000	0	0	1385.38	8.6
1	11.7786	8.1839	12.066	16.533	796.36298	216000	0	0	1379.21	8.7
1	11.7586	8.1865	12.83	17.391	796.36298	216000	0	0	1380.25	8.7
1	11.73	8.173	14.259	17.102	796.36298	216000	0	0	1366.89	8.4
1	11.7253	8.1554	15.386	16.881	796.36298	216000	0	0	1348.48	8.6
1	11.6931	8.1392	15.435	16.92	796.36298	216000	0	0	1343.05	8.4
1	11.6955	8.1204	15.404	16.665	796.36298	216000	0	0	1329.04	8.4
1	11.6706	8.0969	15.079	15.883	796.36298	216000	166.3544447	0.441138102	1321.33	8.3
1	11.6864	8.084	14.289	15.085	796.36298	216000	165.9300362	0.400195579	1303.27	8.3
1	11.6714	8.0767	13.984	15.283	796.36298	216000	166.2800483	0.394659483	1301.31	8.3
1	11.6725	8.0889	13.198	15.268	796.36298	216000	167.4561907	0.394126728	1310.46	8.3
1	11.6881	8.0917	12.242	14.935	796.36298	216000	163.8029317	0.440253037	1315.63	8.4
1	11.678	8.1019	11.757	15.159	796.36298	216000	0	0	1325.38	8.5
1	11.6859	8.0823	12.511	16.31	796.36298	216000	0	0	1307.91	8.5
1	11.6921	8.0938	14.693	17.358	796.36298	216000	171.3331632	0.376038439	1320.88	8.3
1	11.709	8.1011	15.568	16.487	796.36298	216000	169.7908089	0.399598411	1329.25	8.3
1	11.7039	8.0966	15.42	16.433	796.36298	216000	163.7838588	0.494371249	1326.91	8.4
1	11.7023	8.0815	14.606	15.991	796.36298	216000	173.9899123	0.340166252	1312.93	8.2
1	11.6948	8.071	14.738	15.963	796.36298	216000	172.7063236	0.339064736	1301.45	8.2
1	11.7099	8.0766	14.985	15.386	796.36298	216000	172.7248564	0.343816682	1310.28	8.2
1	11.6795	8.0777	14.338	15.453	796.36298	216000	176.092209	0.324063545	1306.17	8.1
1	11.6938	8.0748	14.332	16.107	796.36298	216000	173.1034558	0.336210759	1300.74	8.2
1	11.7046	8.0743	13.574	15.887	796.36298	216000	173.91469	0.326079185	1299.66	8.2
1	11.6997	8.0766	12.589	16.316	796.36298	216000	170.9675288	0.34206707	1297.25	8.3
1	11.7008	8.0859	12.212	17.332	796.36298	216000	177.8691183	0.309756942	1304.55	8.2
1	11.6989	8.0833	11.75	16.796	796.36298	216000	173.1741338	0.33204284	1302.46	8.3
1	11.7089	8.0746	12.614	16.528	796.36298	216000	171.7784479	0.334333347	1296.14	8.3
1	11.6891	8.0633	15.045	17.534	796.36298	216000	176.4059708	0.306738702	1279.37	8.1
